Page,Line,Word,Information,media,Bookmarks
18,4,المَحَجَّةُ,جادَّة الطريق,,
19,11,‌‌الحَوْأَبُ,"بالفتح ثم السكون، وهمزة مفتوحة، وباء موحدة، واصله في اللغة، يقال: حافر حوأب واب صعب، والحوأب: موضع في طريق البصرة محاذي البقرة ماءة ايضا من مياههم، قال ابو زياد: ومن مياه ابي بكر بن كلاب الحوأب، وهو من المياه الاعداد وقديم جاهليّ، وقال نصر:
الحوأب من مياه العرب على طريق البصرة، والحوأب والعناب والحزيز: جبال سود اظنها في ديار عوف ابن عبد بن ابي بكر بن كلاب اخي قريط بن عبد، وقال ابو منصور: الحوأب موضع بئر نبحت كلابه على عائشة…عند مقبلها إلى البصرة… وفي الحديث: ان عائشة لما ارادت المضي الى البصرة في وقعة الجمل مرت بهذا الموضع فسمعت نباح الكلاب فقالت: ما هذا الموضع؟ فقيل لها: هذا موضع يقال له الحوأب، فقالت: انَّا لله ما اراني الا صاحبة لقصة، فقيل لها: وايّ قصة؟ قالت: سمعت رسول الله، صلى الله عليه وسلم، يقول وعنده نساؤه: ليت شعري ايّتكنّ تنبحها كلاب الحوأب سائرة الى الشرق في كتيبة! وهمّت بالرجوع فغالطوها وحلفوا لها انه ليس بالحوأب. 
(معجم البلدان لياقوت الحموي، الجزء الثاني، دار صادر، صـ314)",,
20,2,تماديًا,"تَمَادى فِي الامر: بلغ فِيهِ الغَايَة، وَيُقَال ‌تَمَادى فِي غيه: لجّ ودام عَلَيهِ.",,
20,7,تحكيم النساء الناقصات العقول,,,
20,7,كعادة بني اصفر,"بنو الاصفر: ملوك الروم اولاد الاصفر بن روم بن عيص بن اسحاق، اولاده جنس من الحبش، غلب عليهم فوطئ نساءهم فولد لهم اولاد الاصفر.",,
20,8,ملوك سبا,"قال الله تعالى ﴿لَقَدْ كانَ لِسَبَإٍ فِي مَسْكَنِهِمْ آيَةٌ جَنَّتانِ عَنْ يَمِينٍ وَشِمالٍ كُلُوا مِنْ رِزْقِ رَبِّكُمْ وَاُشْكُرُوا لَهُ بَلْدَةٌ طَيِّبَةٌ وَرَبٌّ غَفُورٌ﴾ … قال علماء النسب منهم محمد بن اسحاق اسم سبإ عبد شمس بن يشجب بن يعرب بن قحطان قالوا وكان اول من سبى من العرب فسمى سبأ لذلك وكان يقال له الرائش لانه كان يعطى الناس الاموال من متاعه…وقال الامام احمد حدثنا ابو عبد الرحمن حدثنا ابن لهيعة عن عبد الله بن دعلة سمعت عبد الله بن العباس يقول ان رجلا سأل النبي ﷺ عن سبإ ما هو ارجل ام امرأة ام ارض، قال بل هو رجل ولد عشرة فسكن اليمن منهم ستة وبالشام منهم اربعة.
 فاما اليمانيون فمذحج وكندة والازد والاشعريون وانمار وحمير، واما الشامية فلخم وجذام وعاملة وغسان وقد ذكرنا في التفسير ان فروة بن مسيك الغطيفى هو السائل عن ذلك كما استقصينا طرق هذا الحديث والفاظه هناك…والمقصود ان سبأ يجمع هذه القبائل كلها وقد كان فيهم التبابعة بارض اليمن واحدهم تبع وكان لملوكهم تيجان يلبسونها وقت الحكم كما كانت الاكاسرة ملوك الفرس يفعلون ذلك وكانت العرب تسمى كل من ملك اليمن مع الشحر وحضر موت تبعا.
(البداية والنهاية، ج/2، صـ406)",,
20,12,طليق بن طليق,"ان الصحابة كانوا يسمون قريشا الذين اطلقهم النبي ﷺ حين فتح مكة ""الطلقاء""، مثل سهيل بن عمرو، ومعاوية، واشباههما من الناس، حتى كانوا يسمون ابناءهم: ابناء الطلقاء، وقال عمر : ان هذا الامر - يعني الخلافة - لا يصلح للطلقاء، ولا لابناء الطلقاء، فكانت هذه سمة لهم ولابنائهم، حتى صارت كالنسب لشهرتها واستفاضتها. 
(شرح مختصر الطحاوي، ابو جعفر الطحاوي، ج/4، صـ81)",,
20,16,يحضني بالنهوض في اخذ حقي من الماضين,,,
21,1,العاصي بن العاص,"عمرو بن العاص(٥٠ ق هـ - ٤٣ هـ = ٥٧٤ - ٦٦٤ م)
عمرو بن العاص بن وائل السهمي القرشي، ابو عبد الله…كان في الجاهلية من الاشداء على الاسلام، واسلم في هدنة الحديبيّة…وولاه عمر فلسطين، ثم مصر … وعزله عثمان، ولما كانت الفتنة بين علي ومعاوية كان عمرو مع معاوية، فولاه معاوية على مصر سنة ٣٨ هـ واطلق له خراجها ست سنين فجمع اموالا طائلة، وتوفي بالقاهرة، اخباره كثيرة. 
(الاعلام للزركلي، ج/5، صـ79)",,
21,6,اعور ثقيف,"المُغِيرَة بن شُعْبَة (٢٠ ق هـ - ٥٠ هـ = ٦٠٣ - ٦٧٠ م)
المغيرة بن شعبة بن ابي عامر بن مسعود الثَّقَفي، ابو عبد الله: احد دهاة العرب…صحابي، يقال له (مغيرة الرأي)، ولد في الطائف (بالحجاز) وبرحها في الجاهلية مع جماعة من بني مالك فدخل الاسكندرية وافدا على المقوقس، وعاد الى الحجاز، فلما ظهر الاسلام تردد في قبوله الى ان كانت سنة ٥ هـ فاسلم، وشهد الحديبيّة واليمامة وفتوح الشام، وذهبت عينه باليرموك… وولاه عمر بن الخطاب على البصرة… وعزله، ثم ولاه الكوفة، واقره عثمان على الكوفة ثم عزله، ولما حدثت الفتنة بين علي ومعاوية اعتزلها المغيرة، وحضر مع الحكمين، ثم ولاه معاوية الكوفة فلم يزل فيها الى ان مات. 
(الاعلام للزركلي، ج/7، صـ277)",,
21,10,اخا بجيلة,"جرير بن عبد الله بن جابر بن مالك البجلي
ابن نصر بن ثعلبة بن جشم بن عوف.. ابو عمرو - وقيل: ابو عبد الله - البجلي، القسري، وقسر: من قحطان، من اعيان الصحابة... واولاده الاربعة: المنذر، وعبيد الله، وابراهيم - لم يدركه - وايوب... الزبير بن بكار: حدثني محمد بن يحيى، حدثني عمران بن عبد العزيز الزهري، قال: بلغني ان جريرا قال: بعثني علي الى معاوية يأمره بالمبايعة، فخرجت لا ارى احدا سبقني اليه، فاذا هو يخطب والناس يبكون حول قميص عثمان، وهو معلق في رمح... قال الهيثم، وخليفة، ومحمد بن مثنى: توفي جرير سنة احدى وخمسين، وقال ابن الكلبي: مات سنة اربع وخمسين. 
(سير اعلام النبلاء، ج/2، صـ530)",,
21,10,اخا الاشعريين,"ينظر ""ابو موسى الاشعري""",,
21,12,,من اصحاب محمد البدريين,,
21,19,عمار بن ياسر,"عَمَّار بن ياسِر (٥٧ ق هـ - ٣٧ هـ = ٥٦٧ - ٦٥٧ م)
عمار بن ياسر بن عامر الكناني المذحجي العنسيّ القحطاني، ابو اليقظان: صحابي، من الولاة الشجعان ذوي الرأي، وهو احد السابقين الى الاسلام والجهر به. هاجر الى المدينة، وشهد بدرا واحدا والخندق وبيعة الرضوان. وكان النبي صلّى الله عليه وسلم يلقبه "" الطيب المطيَّب "" وفي الحديث: ما خير عمار بين امرين الا اختار ارشدهما، وهو اول من بنى مسجدا في الاسلام (بناه في المدينة وسماه قباء) وولاه عمر الكوفة، فاقام زمنا وعزله عنها، وشهد الجمل وصفين مع علي، وقتل في الثانية، وعمره ثلاث وتسعون سنة، له ٦٢ حديثا، ولعبد الله السبيني النجفي كتاب "" عمار بن ياسر - ط "" في سيرته.
(الاعلام للزركلي، ج/5، صـ36)",,
22,2,البّ,"لب بالمكان، والبّ: اقام به ولزمه، والب على الامر: لزمه فلم يفارقه.",,
22,4,اغصان الشجرة الملعونة في القراٰن,"رسول الله نسس ايك سثثنو تهيو تھ بعد رسول الله نسس نيند كم تهئي ككئي، اهوو سثثنو ثثايو كھ نيند اوححهي تهئي ككئي، ككهنو بهاري، اْؤتي نظظيطط نيند اْ سثثنو ديكهوا ثثححهي، اْثث نسس اْخر عظظد ما سوطط سثثنو تهيو قراْن ما بيان ؛:
""وما جعلنا الرءيا التي ارينـــــْك الا فتنة للناس والشجرة الملعونة في القراْن ونخوفهم فما يزيدهم الا طغيانا كبيرا""
هميطط تمنسس جھ سثثنو دِكهايو تھ نوتو مككر فتنة لوككو واسطسس انسس شجرة ملعونة قراْن ما ؛ 
ككهنا تفسير نا لوككو كظظسس ؛ كھ شجرة ملعونة درخت ملعون كون؟ ملعون قراْن ما اهنا سي مراد بني امية ني ؛، تفسير نا لوككو بهي يھ لكهسس ؛ كھ اْ لوككو ني مراد ؛، انسس ثثححهي كهلّو نام ؛ يزيد ني ذكر اْوي جائي ؛، ""فما يزيدهم الا طغيانا كبيرا"" 
كه اْ يزيد نتهي مككر طغيان كبير ؛، كهلّو نام قراْن نا اندر اْية ؛، حسين نسس قتل كري ناكها يزيد يھ عاشوراء نا دن كربلاء ما تو شجرة ملعونة في القراْن
رسول الله منام ما ايم ديكهو اْ ديكهوا ثثححهي كانثثي ككيا، سوطط ديكهسس ؛ كھ اْثث نا منبر ثثر بندر ناححسس ؛، رسول الله نا منبر ثثر بندرو اْوي نسس ناححسس ؛، ككهنو بهاري رسول الله نسس، انسس كانثثي نسس اُضضها ايكدم سثثنا ما سي، انسس عرض كرسس ؛: اسس ثثروردككار اْ سوطط ؛ ؟ جبرئيل خبردسس ؛ كھ: اسس محمد! اْثث نا بعد امة نا اْ حالات تهانار ؛، بني امية خمر نا ثثينار، تمام فُسوق، فُجور نا لوككو مشركين سككلا والي تهئي نسس اْثث نا منبر ثثر، اْثث ني كرسي ثثر بيضضهسسس، انسس يزيد سككلا نوطغيانِ كبير هسسس. 
(4 محرم الحرام، 1426هـ)",,
22,7,رايات رسول الله معنا,"جاءت روايات في كتب الاحاديث حول ذكر راية رسول الله صلى الله عليه وسلم، منها: 
١٣٠٦٠- اخبرنا محمد بن عبد الله الحافظ ثنا ابو العباس محمد بن يعقوب… عن جابر يرفعه الى النبي ﷺ انه كان لواؤه يوم دخل مكة ابيض .
١٣٠٦١ - اخبرنا ابو زكريا يحيى بن ابراهيم بن محمد بن يحيى… عن يزيد بن حيان قال : سمعت ابا مجلز يحدث، عن ابن عباس قال : كانت رايات او قال راية رسول الله / سوداء ولواؤه ابيض .
١٣٠٦٢ - اخبرنا ابو علي الروذباري… رجل من ثقيف مولى محمد بن القاسم، قال: بعثني محمد بن القاسم الى البراء بن عازب يسأله عن راية رسول الله ﷺ ما كانت فقال : كانت سوداء مربعة من نمرة .
١٣٠٦٣ - واخبرنا ابو علي ... اخر منهم، قال: رأيت راية رسول الله ﷺ صفراء .
(السنن الكبرى، ابو بكر احمد بن الحسين البيهقي، ج/6، صـ589)
***
راية الرسول صلّى الله عليه وسلم (570-632م)
كان لرسول الله محمد صلّى الله عليه وسلم رايتان، بيضاء وسوداء، وتكرّر ذكرُهما ووصفُهما، حيث ذكر صاحب ""السيرة الحلبية"" عند حديثه عن غزوة بدر انه كان قبالة النبي رايتان سوداء وبيضاء، احداهما يحملها علي بن ابي طالب رضي الله عنه وتسمّى ""العقاب""، وهي راية الرسول صلّى الله عليه وسلم، والثانية البيضاء يحملها الانصار.
وذكرَ ابن اسحق ان النبي عليه الصلاة والسلام دفع لواءً ابيض الى مصعب بن هاشم بن عبد مناف، وذكرَ ابو هريرة ان الراية البيضاء عليها عبارة ""لا اله الّا الله محمد رسول الله"".
وفي السنة الاولى للهجرة عندما تحركت سرية للمسلمين لاعتراض قافلة لقريش، دفع النبي صلى الله عليه وسلم براية بيضاء عقدها لابي مرشد، وكانت هذه اولَ راية تُعقَد في الاسلام، وفي فتح مكة في السنة الثامنة للهجرة، كانت الراية البيضاء تدخل ابواب مكة، الى جانب رايات العرب الاخرى.
(من موقع الوزارة الخارجية- المملكة الاردنية الهاشمية)",,
22,9,رايات ابيه التي لم ازل اقاتلها مع رسول الله صلى الله عليه,,,
23,4,مالك الاشتر النخعي,"الاشتر مالك بن الحارث النخعي (ت:37 هـ) 
ملك العرب، مالك بن الحارث النخعي، احد الاشراف والابطال المذكورين، … فقئت عينه يوم اليرموك، وكان شهما، مطاعا، زعرا، الب على عثمان، وقاتله، وكان ذا فصاحة وبلاغة.
شهد صفين مع علي، وتميز يومئذ، وكاد ان يهزم معاوية، فحمل عليه اصحاب علي لما رأوا مصحف جند الشام على الاسنة يدعون الى كتاب الله، وما امكنه مخالفة علي، فكف…
ولما رجع علي من موقعة صفين، جهز الاشتر واليا على ديار مصر، فمات في الطريق مسموما، فقيل: ان عبدا لعثمان عارضه، فسم له عسلا، وقد كان علي يتبرم به، لانه صعب المراس، فلما بلغه نعيه، قال: انا لله، مالك، وما مالك! وهل موجود مثل ذلك؟! لو كان حديدا لكان قيدا، ولو كان حجرا لكان صلدا، على مثله فلتبك البواكي.
(سير اعلام النبلاء، صـ3167) 
الاَشترُ النخعِيُّ (37هـ/657م): مالك بن الحارث بن عبد يغوث النخعي، المعروف بالاشتر، من كبار الشجعان، كان رئيس قومه.سكن كوفة وكان له نسل فيها. وشهد اليرموك وذهب عينه فيها، وشهد الجمل وايام صفين مع مولانا علي ص ع، وولاه على مصر فقصدها فاستشهد في الطريق. فقال امير المؤمنين ص ع: ""رحم الله مالكا فلو كان من الصخر كان جلمودا، او كان من الحديد كان فرندا، وما احسبه الا قد متني قدا وقد هد المسلمين بوفاته هدا"". وله شعر جيد، وكان من الشجعان الاجواد العلماء الفصحاء.",,
23,7,محمد بن الحنفية,"ابن الحَنَفِيَّة (٢١ - ٨١ هـ = ٦٤٢ - ٧٠٠ م)
محمد بن علي بن ابي طالب، الهاشمي القرشي، ابو القاسم المعروف بابن الحنفية: احد الابطال الاشداء في صدر الاسلام، وهو اخو الحسن والحسين، غير ان امهما فاطمة الزهراء، وامه خولة بنت جعفر الحنفية، يُنسب اليها تمييزا له عنهما، وكان يقول: الحسن والحسين افضل مني… كان واسع العلم، ورعا، اسود اللون، واخبار قوته وشجاعته كثيرة، مولده ووفاته في المدينة. وقيل: خرج الى الطائف هاربا من ابن الزبير، فمات هناك، للخطيب علي بن الحسين الهاشمي النجفي كتاب (محمد ابن الحنفية - ط) في سيرته.
(الاعلام للزركلي، ج/6، صـ270)",,
23,12,الحاكم من اهل بيتي ممن ارضٰى برأيه وعقله,,,
23,17,رجلا كان صبغ في العلم ثم اخرج منه,"الاعمش، عن عمرو بن مرة، عن ابي البختري، قال : اتينا عليًا ، فسألناه عن اصحاب محمد ﷺ . قال: عن ايهم تسألوني… قلنا: ابو موسى؟ قال : صبغ في العلم صبغة ، ثم خرج منه. 
(سير اعلام النبلاء، ج/2، صـ388)",,
24,3,"يصومون النهار ويقومون الليل، ويقرؤون القراٰن، يعرفون بخلافهم اياي، ومحاربتهم لي، يمرقون من الدين كما يمرق السهم من الرمية","ورد في كتاب شرح الاخبار في فضائل الائمة الابرار، الجزء 5، صـ50:
""ابن لهيعة باسناده عن ابي سعيد الخدري انه قال سمعت رسول الله يقول سيخرج من بعدي اقوام يقولون الحق بالسنتهم وتأباه قلوبهم، يقرؤون القرآن لا يجاوز تراقيهم، يمرقون من الدين كما يمرق السهم من الرمية ينظر إلى نصله ولا يرى شيئا، ثم ينظر الى قدحه فلا يرى شيئا، ثم ينظر الى ریشه فلا یرى شيئا، ثم ينظر الى رصافه فلا يرى شيئا، فلا يعلق بهم من الدين الا كما يعلق ذلك السهم.
 قوله يمرقون المروق الخروج من الشيء من غير مدخله، وكذلك الخوارج دخلوا الاسلام بالاقرار بالشهادتين وخرجوا منه بالنفاق على امامهم الذي أمر الله بطاعته وقرنها بطاعته وطاعة رسوله، فخرجوا من الدين من غير الموضع الذي دخلوا منه.
 ويقال مرق السهم من الرمية مروقا والسهم النبل الذي يرمى به، والرمية ما يرميه الرامي من الصيد وغيره، فعيلة في موضع مفعول بها وهي مرمية كما يقال قتيل في موضع مقتول، ومروق السهم من الرمية هو خروجه من غير الموضع الذي دخل فيها منه، وذلك ان يرمي الرامي الطريدة من الوحش يريد صيدها عن قوسه فيصيبها بسهمه فيخرقها ويخرج من الجانب الثاني منها كله فتسقط الى الارض لشدة الضربة"".",,
24,5,ذو الثدية,"ذو الثدية اسمه ""حرقوص""، قتل في محاربة  امير الممؤمنين علي رضي الله عنه مع الخوارج (من الهامش): في سنن ابي داود-كتاب السنة- باب قتل الخوارج ""وكان المخدج يسمى نافع"" ثم قال ابو داود: هو عند الناس اسمه ""حرقوس""- وفي تاريخ الطبري اسمه نافع- وفي نزهة الالباب ""هو نافع وقيل حرقوص"".
(كشف النقاب عن الاسماء والالقاب، جمال الدين ابي الفرج عبد الرحمن الجوزي، ت: عبد العزيز بن راجي الصاعدي، ج/1، مكتبة دار السلام، 1413هـ)صـ250",,
24,11,لا حكم الا لله,"الخوارج: هم اشد الفرق الاسلامية دفاعا عن اعتقادهم، وحماسة لافكارهم وشدة في تدينهم في الجملة ، واندفاعاً وتهوراً فيما يدعون اليه ، وما يفكرون فيه، وهم في اندفاعهم وتهورهم يستمسكون بالفاظ قد اخذوا بظواهرها، وظنوها دينا مقدسا لا يحيد: عنه مؤمن، ولا يخالف سبيله الا من مالت به البهتان، ودفعته الى العصيان. 
استرعت البابهم كلمة ""لا حكم الا الله""، فاتخذوها دينا ينادون به في وجوه مخالفيهم، ويقطعون به كل حديث ، فكانوا كلما رأوا عليا يتكلم قذفوه بهذه الكلمة وقد روى انه -رضي الله عنه- قال في شأنهم عندما قالوها وكرروا قولها: ""كلمة حتى يراد بها باطل""، نعم انه لاحكم الا الله ، ولكن هؤلاء يقولون لا امرة الا الله، وانه لابد للناس من امير… وقد استهوتهم فكرة البراءة من عثمان وعلي والحكام الظالمين، حتى احتلت افهامهم، واستولت على مداركهم استيلاء تاما، وسدت عليهم كل طريق للوصول الى الحق، فمن يبرأ من عثمان وعلي وطلحة والزبير والظالمين من بني امية سلكوه في جمعهم، وتسامحوا معه في مبادئ اخرى من مبادئهم، ربما كانت اشد اثرا والخلاف فيها بعده عنهم اكثر من الخلاف في هذا التبرؤ. 
(ابو حنيفة، محمد ابو زهرة، صـ136)",,
24,11,النخيلة,"تصغير نخلة: موضع قرب الكوفة على سمت الشام وهو الموضع الذي خرج اليه علي، رضي الله عنه، لما بلغه ما فعل بالانبار من قتل عامله عليها وخطب خطبة مشهورة ذم فيها اهل الكوفة. 
(معجم البلدان، ج/5، صـ278)",,
24,11,حرورا,"حَرَوراءُ: بفتحتين، وسكون الواو، وراء اخرى، والف ممدودة، يجوز ان يكون مشتقّا من الريح الحرور، وهي الحارة، وهي بالليل كالسموم بالنهار، كأنه انّث نظرا الى انه بقعة، قيل: هي قرية بظاهر الكوفة، وقيل: موضع على ميلين منها نزل به الخوارج الذين خالفوا علي بن ابي طالب، رضي الله عنه، فنسبوا اليها، وقال ابن الانباري:
حروراء كورة، وقال ابو منصور: الحرورية منسوبون الى موضع بظاهر الكوفة نسبت اليه الحرورية من الخوارج، وبها كان اول تحكيمهم واجتماعهم حين خالفوا عليه، قال: ورأيت بالدهناء رملة وعثة يقال لها رملة حروراء.
(معجم البلدان، ج/2، صـ245)",,
24,13,اسْتَحْيَت,"(حم) ""واَصلُ الاسْتِحْياء: الامتِناع والانْقِباض عن الشيء خوفًا من مواقعة القبيح، واَصلُ يستحي يستحيِيُ بِيايَينِ (بياءَين)، حُذِفت (الياء) الاولى منهما واَلْقَت حركتها على الحاء فصُرِّف تصريفَ افتعل مثل اغتدى ونحوه، وقوله (تعالى) ""ويستحيون نساءكم""، قيل: اي يَسْتَبقونها من الحيوة، لاَنهم كانوا يذبحون الذكورَ ويَسْتَبْقون الاناثَ، يقال: (اذا) استحياه: اذا تركه حيًّا"".",,
25,2,العُتبٰى,"(حم) ""عَتَبَ عليه: اي وَجَدَ عليه، والاسم منه العُتبٰى، (وفي المثَل: لك العتبى باَن...) باَن لا رضِيتَ، من ص"".",,
25,3,الاحنف بن قيس,"الاحنف بن قيس بن معاوية ابو بحر التميمي: (ت: 67 او بعد)
الاحنف بن قيس بن معاوية بن حصين، الامير الكبير، العالم النبيل، ابو بحر التميمي، احد من يضرب بحلمه وسؤدده المثل، اسمه ضحاك: وقيل صخر، وشهر بالاحنف لحنف رجليه في حياة النبي، ووفد على عمر. 
حدث عن عمر، وعلي، وابي ذر، والعباس، وابن  مسعود… كان من قواد جيش علي يوم صفين، قال ابن سعد: كان ثقة مامونا، قليل الحديث، وكان صديقا لمصعب بن الزبير، فوفد عليه الى الكوفة فمات عنده بالكوفة… قال القسوي: مات الاحنف سنة سبع وستين، وقال غيره: توفي سنة احدى وسبعين، وقال جماعة: مات في امرة مصعب بن الزبير على العراق. 
(سير اعلام النبلاء، صـ 1041)",,
25,3,سعيد بن قيس,"سعيد بن قيس بن زيد، من بني زيد ابن مريب، من همدان: فارس، من الدهاة الاجواد، من سلالة ملوك همدان، وقاتل معه يوم صفين، وكان اليه امر همدان بالعراق.
(الاعلام لخير الدين الزركلي، ج/3، دار العلم للملايين، بيروت- 2002)صـ100.",,
25,4,الاشعث الكندي,"الاشعث بن قيس: (23ق هـ - 40هـ) الاشعث بن قيس بن معدي كرب الكندي، ابو محمد، امير كندة في الجاهلية والاسلام، كانت اقامته في حضرموت، ووفد على النبي صلى الله عليه وعلى آله بعد ظهور الاسلام، في جمع من قومه، فاسلم، وشهد اليرموك فاصيبت عينه، ولما ولي ابو بكر امتنع الاشعث وبعض بطون كندة من تأدية الزكوة، فتنحى والي حضرموت بمن بقي على الطاعة من كندة، وجاءته النجدة فحاصر حضرموت، فاستسلم الاشعث وفتحت حضرموت عنوة، وارسل الاشعث موثوقا الى ابي بكر في المدينة ليرى فيه رأيه، فاطلقه ابو بكر وزوّجه اخته ام فروة، فاقام في المدينة وشهد الوقائع، ثم كان مع سعد بن ابي وقاص في حروب العراق، ولما آل الامر الى امير المؤمنين مولانا علي بن ابي طالب ص ع كان الاشعث معه يوم صفين على راية كندة، وحضر معه وقعة النهروان، وورد المدائن، ثم عاد الى الكوفة فمات فيها.
(الاعلام لخير الدين الزركلي، ج/1، دار العلم للملايين، بيروت- 2002)صـ332
***
ان اول من خرج على علي رضي الله عنه جماعة ممن كان معه في حرب صفين واشدهم خروجا عليه ومروقا من الدين الاشعث بن قيس الكندي، ومسعر بن فدكي التميمي، وزيد بن الحصين الطائي…""
(كتاب الملل والنحل، ابو الفتح محمد بن عبد الكريم بن ابى بكر احمد الشهرستاني (ت 548هـ)، مؤسسة الحلبي، ج/1، صـ114)
اورد الداعي الاجل الفاطمي سيدنا ادريس عماد الدين رض هذا النص في كتابه حيث قال: ""وذكر محمد بن عبد الكريم الشهرستاني صاحب كتاب الملل والنحل في كتابه المذكور ان الاشعث الكندي من الخوارج المارقين، قال…""
(ينظر كتاب عيون الاخبار، الجلد الثالث)",,
25,10,الجامع بالكوفة,,,
25,14,الجاهلية,"""اسس فاطمة! اسس محمد ني شظظزادي!
ميطط تلوار ثثكرٌيس تو اْ دشمنو تمارا باوا نو نام نظظيطط لسس، ايم اْ لوككو ني ككوضضهون ؛، 
سوطط ككوضضهون ؛ كھ بسس جاهلية ما سي ايك قائم كروو، يا تو جاهلية اولى ني طرف ولي جاوو، انسس ايم كظظوو كھ محمد انسس علي ؛} نظظيطط، انسس جو علي صبر كرسس تو جاهلية ثانية قائم كري نسس ملك اثثنسس غصب كري ليوو، انسس امام الزمان ني معرفة سي سككلا نسس ححهرٌاوي ديوو، اْ جاهلية ثانية ؛، اْ دشمنو وات كرسس ؛ 
تو امير المؤمنين صبر كرسس ؛، اْثث جانسس ؛ كھ جاهلية ثانية قائم تهائي، جاهلية اولى كرتا كھ يھ مناسب ؛، جاهلية ثانية هوئي تھ ما سي سككلا اسلام حقيقي ني طرف ولسس، اسلام حقيقي ني طرف ولسس، انسس جاهلية اولى قائم تهئي جائي تو تمام تيويس ورس ني محنة اهنا اوثثر ككهنو اثر ثثرٌي جائي 
انسس اْ سككلا تو يھ وات ثثر تلا هوا ؛ دشمنو، كيم كھ يھ تو دنيا دار لوككو تها""
(7 محرم الحرام، 1426هـ) 
***
لغة: مأخوذة من الفعل (جهل)، والجهل معناه: خلاف العلم.
يقول الراغب: الجهل على ثلاثة اضرب: الاول: خلو النفس من العلم، الثانى: اعتقاد الشيء بخلاف ما هو عليه، الثالث: فعل الشيء بخلاف ما حقه ان يفعل.
وقد وردت مشتقات الكلمة فى القرآن الكريم بمعنى:
١ - الخلو من المعرفة، كقوله تعالى: {يحسبهم الجاهل اغنياء من التعفف} البقرة:٢٧٣.
٢ - الطيش والسفه، كقوله تعالى: {قال هل علمتم ما فعلتم بيوسف واخيه اذ انتم جاهلون} يوسف:٨٩.
٣ - بمعناها معا كقوله تعالى: {ما كانوا ليؤمنوا الا ان يشاء الله ولكن اكثرهم يجهلون} الانعام:١١١.
اصطلاحا: اصطلح المؤرخون على ان لفظ الجاهلية قد يكون اسما للحال، ومعناها الصفات المرذولة التي كانت عليها الامة قبل الاسلام من الجهل بالله وبرسوله وشرائع الدين والمفاخرة بالانساب والكبر والتجبر .. الخ. 
وقد يكون اسما لذي الحال، اي الزمان، ومعناها: المدة التي كانت قبل نبوة الرسول صلى الله عليه وسلم، وقيل: زمن الكفر مطلقا، وقيل: ما قبل الفتح، وقيل ما كان بين مولد النبى والمبعث، وبهذا قال ابن حجر، ومنه قوله تعالى: {يظنون بالله غير الحق ظن الجاهلية} ال عمران:١٥٤، وذلك لما كان عليه العرب من فاحش الجهالات فى العقيدة والعبادة والتشريع والمعاملات والاخلاق التي انتقلت اليهم وشاعت بينهم و تاصلت في نفوسهم حتى صارت دينا حل محل الحنيفية السمحة.
وعلى هذا نقول: طائفة جاهلية، وشاعر، جاهلي، نسبة الى الجهل، لان من لم يعلم الحق فهو جاهل، فان اعتقد خلافه او قال بخلاف الحق عالما به او غير عالم فهو جاهل، كقوله تعالى: {واذا خاطبهم الجاهلون قالوا سلاما} الفرقان:٦٣… ومنه قول عمرو بن كلثوم فى معلقته:
الا لا يجهلن احد علينا * فنجهل فوق جهل الجاهلينا
اي لا يسفه احد علينا فنسفه عليه فوق سفهه، اي نجازيه به جزاء يزيد عليه.
(الموسوعة الاسلامية العامة، صـ453)",,
26,9,ابو سفيان بن حرب,"""ابو سفيان يھ تو مشظظور، دغاباز، مكار""
(7 محرم الحرام، 1423هـ)
***
صَخْر بن حَرْب بن اُميَّة: (ت ٣١هـ) 
ابو سفيان صخر بن حرب بن امية بن عبد شمس بن عبد مناف بن قصي بن كلاب، رأس قريش وقائدهم يوم احد ويوم الخندق، وله هنات وامور صعبة … فاسلم وهو شبه مكره وخائف…كان من دهاة العرب … شهد غزوة حنين، واعطاه رسول الله ﷺ  من الغنائم مئة من الابل واربعين اوقية ثم الدراهم يتالفه بذلك ، ففرغ عن عبادة ""هبل"" … وشهد قتال الطائف فقلعت عينه حينئذ، ثم قلعت الاخرى يوم اليرموك… توفي بالمدينة سنة احدى وثلاثين، وقيل سنة اثنتين، وقيل سنة ثلاث او اربع وثلاثين، وله نحو التسعين. 
(سير اعلام النبلاء، صـ2022)",,
